Using graph /home/subhajit/data/email-Eu-core-temporal.txt ...
Temporal edges: 332335
order: 194085 size: 924886 {} [02786.939 ms; buffer=512] readSnapTemporal
order: 194085 size: 924886 {} [01562.186 ms; buffer=512] transposeWithDegree
order: 194085 size: 924886 {} [03612.540 ms; buffer=1024] readSnapTemporal
order: 194085 size: 924886 {} [02508.000 ms; buffer=1024] transposeWithDegree
order: 194085 size: 924886 {} [05515.718 ms; buffer=2048] readSnapTemporal
order: 194085 size: 924886 {} [05586.599 ms; buffer=2048] transposeWithDegree
order: 194085 size: 924886 {} [10055.698 ms; buffer=4096] readSnapTemporal
order: 194085 size: 924886 {} [10195.560 ms; buffer=4096] transposeWithDegree

Using graph /home/subhajit/data/wiki-talk-temporal.txt ...
Temporal edges: 7833141
order: 1140149 size: 3309592 {} [21034.535 ms; buffer=1] readSnapTemporal
order: 1140149 size: 3309592 {} [00506.117 ms; buffer=1] transposeWithDegree
order: 1140149 size: 3309592 {} [20951.172 ms; buffer=2] readSnapTemporal
order: 1140149 size: 3309592 {} [00463.744 ms; buffer=2] transposeWithDegree
order: 1140149 size: 3309592 {} [20872.012 ms; buffer=4] readSnapTemporal
order: 1140149 size: 3309592 {} [00441.024 ms; buffer=4] transposeWithDegree
order: 1140149 size: 3309592 {} [20885.201 ms; buffer=8] readSnapTemporal
order: 1140149 size: 3309592 {} [00445.470 ms; buffer=8] transposeWithDegree
order: 1140149 size: 3309592 {} [20918.934 ms; buffer=16] readSnapTemporal
order: 1140149 size: 3309592 {} [00496.978 ms; buffer=16] transposeWithDegree
order: 1140149 size: 3309592 {} [20962.551 ms; buffer=32] readSnapTemporal
order: 1140149 size: 3309592 {} [00589.249 ms; buffer=32] transposeWithDegree
order: 1140149 size: 3309592 {} [21134.973 ms; buffer=64] readSnapTemporal
order: 1140149 size: 3309592 {} [00733.433 ms; buffer=64] transposeWithDegree
order: 1140149 size: 3309592 {} [21382.244 ms; buffer=128] readSnapTemporal
order: 1140149 size: 3309592 {} [00952.785 ms; buffer=128] transposeWithDegree
order: 1140149 size: 3309592 {} [21775.459 ms; buffer=256] readSnapTemporal
order: 1140149 size: 3309592 {} [01626.138 ms; buffer=256] transposeWithDegree
order: 1140149 size: 3309592 {} [22888.002 ms; buffer=512] readSnapTemporal
order: 1140149 size: 3309592 {} [02791.479 ms; buffer=512] transposeWithDegree
order: 1140149 size: 3309592 {} [24671.443 ms; buffer=1024] readSnapTemporal
order: 1140149 size: 3309592 {} [04544.700 ms; buffer=1024] transposeWithDegree
order: 1140149 size: 3309592 {} [29663.932 ms; buffer=2048] readSnapTemporal
order: 1140149 size: 3309592 {} [10301.691 ms; buffer=2048] transposeWithDegree
order: 1140149 size: 3309592 {} [40195.387 ms; buffer=4096] readSnapTemporal
terminate called after throwing an instance of 'std::bad_alloc'
  what():  std::bad_alloc
Using graph /home/subhajit/data/sx-stackoverflow.txt ...
Temporal edges: 63497051
order: 2601977 size: 36233450 {} [92162.930 ms; buffer=1] readSnapTemporal
order: 2601977 size: 36233450 {} [14232.156 ms; buffer=1] transposeWithDegree
order: 2601977 size: 36233450 {} [92023.273 ms; buffer=2] readSnapTemporal
order: 2601977 size: 36233450 {} [13923.403 ms; buffer=2] transposeWithDegree
order: 2601977 size: 36233450 {} [91467.188 ms; buffer=4] readSnapTemporal
order: 2601977 size: 36233450 {} [13847.361 ms; buffer=4] transposeWithDegree
order: 2601977 size: 36233450 {} [91495.625 ms; buffer=8] readSnapTemporal
order: 2601977 size: 36233450 {} [13677.591 ms; buffer=8] transposeWithDegree
order: 2601977 size: 36233450 {} [90916.078 ms; buffer=16] readSnapTemporal
order: 2601977 size: 36233450 {} [13705.362 ms; buffer=16] transposeWithDegree
order: 2601977 size: 36233450 {} [91622.992 ms; buffer=32] readSnapTemporal
order: 2601977 size: 36233450 {} [14023.922 ms; buffer=32] transposeWithDegree
order: 2601977 size: 36233450 {} [97664.609 ms; buffer=64] readSnapTemporal
order: 2601977 size: 36233450 {} [17388.348 ms; buffer=64] transposeWithDegree
order: 2601977 size: 36233450 {} [104383.391 ms; buffer=128] readSnapTemporal
order: 2601977 size: 36233450 {} [18472.646 ms; buffer=128] transposeWithDegree
order: 2601977 size: 36233450 {} [99858.531 ms; buffer=256] readSnapTemporal
order: 2601977 size: 36233450 {} [21877.215 ms; buffer=256] transposeWithDegree
order: 2601977 size: 36233450 {} [105886.547 ms; buffer=512] readSnapTemporal
order: 2601977 size: 36233450 {} [34482.242 ms; buffer=512] transposeWithDegree
order: 2601977 size: 36233450 {} [124985.078 ms; buffer=1024] readSnapTemporal
order: 2601977 size: 36233450 {} [45205.969 ms; buffer=1024] transposeWithDegree
terminate called after throwing an instance of 'std::bad_alloc'
  what():  std::bad_alloc
