graph,order,size,batch_size,technique,time
"sx-superuser","194085","924886","100000","readSnapTemporal [sorted]","95.69025"
"sx-superuser","194085","924886","100000","readSnapTemporal [unsorted]","110.17024999999998"
"sx-superuser","194085","924886","100000","transposeWithDegree [sorted]","145.6877333333333"
"sx-superuser","194085","924886","100000","transposeWithDegree [unsorted]","254.48633333333333"
"sx-superuser","194085","924886","500000","readSnapTemporal [sorted]","377.94700000000006"
"sx-superuser","194085","924886","500000","readSnapTemporal [unsorted]","434.81575000000004"
"sx-superuser","194085","924886","500000","transposeWithDegree [sorted]","170.14733333333334"
"sx-superuser","194085","924886","500000","transposeWithDegree [unsorted]","320.156"
"sx-superuser","194085","924886","1000000","readSnapTemporal [sorted]","502.56899999999996"
"sx-superuser","194085","924886","1000000","readSnapTemporal [unsorted]","581.101"
"sx-superuser","194085","924886","1000000","transposeWithDegree [sorted]","197.1825"
"sx-superuser","194085","924886","1000000","transposeWithDegree [unsorted]","399.47950000000003"
"wiki-talk-temporal","1140149","3309592","1000","readSnapTemporal [sorted]","1.271722772277228"
"wiki-talk-temporal","1140149","3309592","1000","readSnapTemporal [unsorted]","2.7737227722772286"
"wiki-talk-temporal","1140149","3309592","1000","transposeWithDegree [sorted]","291.08"
"wiki-talk-temporal","1140149","3309592","1000","transposeWithDegree [unsorted]","3111.3260594059407"
"wiki-talk-temporal","1140149","3309592","5000","readSnapTemporal [sorted]","5.410782178217822"
"wiki-talk-temporal","1140149","3309592","5000","readSnapTemporal [unsorted]","14.555980198019801"
"wiki-talk-temporal","1140149","3309592","5000","transposeWithDegree [sorted]","283.2220594059406"
"wiki-talk-temporal","1140149","3309592","5000","transposeWithDegree [unsorted]","3076.607306930693"
"wiki-talk-temporal","1140149","3309592","10000","readSnapTemporal [sorted]","10.746059405940596"
"wiki-talk-temporal","1140149","3309592","10000","readSnapTemporal [unsorted]","29.08443564356435"
"wiki-talk-temporal","1140149","3309592","10000","transposeWithDegree [sorted]","285.201"
"wiki-talk-temporal","1140149","3309592","10000","transposeWithDegree [unsorted]","3114.455564356435"
"wiki-talk-temporal","1140149","3309592","50000","readSnapTemporal [sorted]","51.67829702970299"
"wiki-talk-temporal","1140149","3309592","50000","readSnapTemporal [unsorted]","146.16226732673266"
"wiki-talk-temporal","1140149","3309592","50000","transposeWithDegree [sorted]","292.28806930693065"
"wiki-talk-temporal","1140149","3309592","50000","transposeWithDegree [unsorted]","3205.1438019801976"
"wiki-talk-temporal","1140149","3309592","100000","readSnapTemporal [sorted]","110.65887500000001"
"wiki-talk-temporal","1140149","3309592","100000","readSnapTemporal [unsorted]","294.67796250000004"
"wiki-talk-temporal","1140149","3309592","100000","transposeWithDegree [sorted]","337.23086075949357"
"wiki-talk-temporal","1140149","3309592","100000","transposeWithDegree [unsorted]","3320.119924050632"
"wiki-talk-temporal","1140149","3309592","500000","readSnapTemporal [sorted]","499.9518823529412"
"wiki-talk-temporal","1140149","3309592","500000","readSnapTemporal [unsorted]","1390.488411764706"
"wiki-talk-temporal","1140149","3309592","500000","transposeWithDegree [sorted]","394.64456249999995"
"wiki-talk-temporal","1140149","3309592","500000","transposeWithDegree [unsorted]","3778.9131875"
"wiki-talk-temporal","1140149","3309592","1000000","readSnapTemporal [sorted]","921.9141111111112"
"wiki-talk-temporal","1140149","3309592","1000000","readSnapTemporal [unsorted]","2614.4564444444445"
"wiki-talk-temporal","1140149","3309592","1000000","transposeWithDegree [sorted]","419.44387499999993"
"wiki-talk-temporal","1140149","3309592","1000000","transposeWithDegree [unsorted]","4191.896624999999"
"wiki-talk-temporal","1140149","3309592","5000000","readSnapTemporal [sorted]","2703.936"
"wiki-talk-temporal","1140149","3309592","5000000","readSnapTemporal [unsorted]","7736.254666666667"
"wiki-talk-temporal","1140149","3309592","5000000","transposeWithDegree [sorted]","559.0055"
"wiki-talk-temporal","1140149","3309592","5000000","transposeWithDegree [unsorted]","7785.155"
"sx-stackoverflow","2601977","36233450","1000","readSnapTemporal [sorted]","3.6502277227722777"
"sx-stackoverflow","2601977","36233450","1000","readSnapTemporal [unsorted]","2.28940594059406"
"sx-stackoverflow","2601977","36233450","1000","transposeWithDegree [sorted]","5808.472564356435"
"sx-stackoverflow","2601977","36233450","1000","transposeWithDegree [unsorted]","16766.325712871283"
"sx-stackoverflow","2601977","36233450","5000","readSnapTemporal [sorted]","9.727871287128712"
"sx-stackoverflow","2601977","36233450","5000","readSnapTemporal [unsorted]","10.449673267326732"
"sx-stackoverflow","2601977","36233450","5000","transposeWithDegree [sorted]","5893.705683168316"
"sx-stackoverflow","2601977","36233450","5000","transposeWithDegree [unsorted]","16913.642099009907"
"sx-stackoverflow","2601977","36233450","10000","readSnapTemporal [sorted]","19.182623762376245"
"sx-stackoverflow","2601977","36233450","10000","readSnapTemporal [unsorted]","18.722990099009902"
"sx-stackoverflow","2601977","36233450","10000","transposeWithDegree [sorted]","5894.551663366339"
"sx-stackoverflow","2601977","36233450","10000","transposeWithDegree [unsorted]","16950.78806930694"
"sx-stackoverflow","2601977","36233450","50000","readSnapTemporal [sorted]","75.6560198019802"
"sx-stackoverflow","2601977","36233450","50000","readSnapTemporal [unsorted]","80.469"
"sx-stackoverflow","2601977","36233450","50000","transposeWithDegree [sorted]","5909.356465346533"
"sx-stackoverflow","2601977","36233450","50000","transposeWithDegree [unsorted]","16974.217881188117"
"sx-stackoverflow","2601977","36233450","100000","readSnapTemporal [sorted]","137.12236633663366"
"sx-stackoverflow","2601977","36233450","100000","readSnapTemporal [unsorted]","156.37596039603957"
"sx-stackoverflow","2601977","36233450","100000","transposeWithDegree [sorted]","5853.389435643566"
"sx-stackoverflow","2601977","36233450","100000","transposeWithDegree [unsorted]","16997.2364059406"
"sx-stackoverflow","2601977","36233450","500000","readSnapTemporal [sorted]","655.837603960396"
"sx-stackoverflow","2601977","36233450","500000","readSnapTemporal [unsorted]","779.5633960396038"
"sx-stackoverflow","2601977","36233450","500000","transposeWithDegree [sorted]","6244.626950495048"
"sx-stackoverflow","2601977","36233450","500000","transposeWithDegree [unsorted]","17584.22117821782"
"sx-stackoverflow","2601977","36233450","1000000","readSnapTemporal [sorted]","1332.6894769230773"
"sx-stackoverflow","2601977","36233450","1000000","readSnapTemporal [unsorted]","1597.6620153846152"
"sx-stackoverflow","2601977","36233450","1000000","transposeWithDegree [sorted]","6975.710937499998"
"sx-stackoverflow","2601977","36233450","1000000","transposeWithDegree [unsorted]","18913.694468749996"
"sx-stackoverflow","2601977","36233450","5000000","readSnapTemporal [sorted]","6263.87857142857"
"sx-stackoverflow","2601977","36233450","5000000","readSnapTemporal [unsorted]","7612.9800000000005"
"sx-stackoverflow","2601977","36233450","5000000","transposeWithDegree [sorted]","7603.7886153846175"
"sx-stackoverflow","2601977","36233450","5000000","transposeWithDegree [unsorted]","20472.59723076923"
"sx-stackoverflow","2601977","36233450","10000000","readSnapTemporal [sorted]","10948.173374999998"
"sx-stackoverflow","2601977","36233450","10000000","readSnapTemporal [unsorted]","13276.811750000003"
"sx-stackoverflow","2601977","36233450","10000000","transposeWithDegree [sorted]","8421.293142857143"
"sx-stackoverflow","2601977","36233450","10000000","transposeWithDegree [unsorted]","23075.481714285714"
"sx-stackoverflow","2601977","36233450","50000000","readSnapTemporal [sorted]","29084.017333333337"
"sx-stackoverflow","2601977","36233450","50000000","readSnapTemporal [unsorted]","35400.736"
"sx-stackoverflow","2601977","36233450","50000000","transposeWithDegree [sorted]","11465.7495"
"sx-stackoverflow","2601977","36233450","50000000","transposeWithDegree [unsorted]","34081.8885"
